UserName,Sentiment,Lemmatized
86,Negative,  earning expect heavily impact coronavirus steep decline commodity price analyst cut estimate daveaurelio analyse datum trusteddata refinitiv
87,Negative,"suggestion slow stop 
  work remotely home 
  online school lecture 
  update hse dept health website 
  order shop online delivery need broadband remoteworke broadband rural"
88,Neutral,retailer gouge consumer clorox spray wipe sanitizer use itâ available gee bet china sanitizer coronavirus
89,Negative,"stay vigilant stay safe adapt covid know office answer question scam sick time fraud 

 consumer hotline 
 health care hotline 
 fair labor hotline"
90,Negative,"coronavirus suspension elimination payrolltax quick sensible mean enhance consumer liquidity work americans especially time low wage worker 

 realdonaldtrump exactly right thing"
91,Negative,"advice national health expert avoid coronavirus 

  cdc americans stock food medication avoid venture coronavirus spread 

 uk gov wash hand carry 

 

"
92,Negative,"awful impact coronavirus continue feel world 
 event china affect uk container industry mean consumer look buy shippingcontainer 
 find 
  mrbox"
93,Positive,wash hand second soap water use hand sanitiser
94,Negative,coronavirus covid oil price drop lead recession business insider
95,Negative,"german colleague confirm hamsterkã¤ufe hamster stuff cheek food german term panic buy cute news need today 
  hamsterkã¤ufe coronavirusireland panicbuyingireland panicbuye"
96,Extremely Positive,"government provide hand sanitizer public building transport hub matter utmost urgency 

 state penalize business try profit crisis rise price essential item like hand sanitizer"
97,Neutral,need quarantine home coronavirus consumer report
98,Extremely Positive,"new fujifilmx x roberts join saturday march roberts downtown location 

 sure stop register free mystery giveaway"
99,Extremely Negative,"spike price state emergency crime report 

  coronavirus"
100,Neutral,"can food toilet paper 


  kr tgt wmt amzn cost cvs invest stock coronavirus market economy"
101,Positive,"  summarize important point paper thread 
"
102,Neutral,  husband ask today stock food supply coronavirus
103,Positive,missouri ag sue televangelist advertise âsilver solutionâ cure coronavirus
104,Positive,president trump away â    stay calm â    away
105,Neutral,actually need stock pile food actually use toilet paper eat need use toilet need toilet paper toiletpaper coronavirus idiot
106,Extremely Positive,hamiltonpoverty call canadian federal government provide basicincome stimulus payment current covid situation basic income interim help people healthy revive consumer confidence spending cdnpoli
107,Positive,solid advice senior family member complexhealth care need cdc old americans consider stock food medication avoid venture coronavirus spread coronaviruscanada bcsenior
108,Negative,local medium naples report seria football player callejon llorente ospinta people queue outside supermarket night stock food coronavirus emergency
109,Negative,"reminder state emergency effect statewide coronavirus 

 californian protect illegal price gouging housing gas food essential supply"
110,Negative,think close school child lose access main source meal happen demand food bank trusselltrust coronavirus foodbank poverty uk
111,Negative,"  realdonaldtrump 

  donât sick 
  wash hand 
  ahead wear mask doctor 
  stock food medicine 
  work home 
  social distance 
  hand sanitizer surface 
  avoid touch"
112,Positive,"appear absolutely good stock pile panic buy food good toilet roll coronavirus move good buy 

 tin whistle apple watch band 

 well toilet roll"
113,Extremely Positive,"pretty good chance waiter waitress grocery department store clerk uber taxi driver health insurance pay sick leave 

 pretty good chance people come contact coronavirus 

 think bernie radical good luck"
114,Negative,"donât understand run toilet paper 

 think youâd stock food food wonât need toilet paper coronavirus"
115,Positive,govt try boost spending save economy retail staff witness yesterday store continuously cough merchandise bigw eastgarden coronavirus stimulus auspol
116,Negative,"ve lie covid find need stock food water city quarantine 

 coronavirus chiropractor naturopath stock gold silver blackpink bts coach trainer librarian twice yibo xiaozhan animalcrossing trucker"
117,Negative,metro manila lock cause shortage food supply hoarding stuff fortunate family able stock lot oh lord pray covid end boil bad
118,Extremely Positive,"hey guysss important message friend family viewer aware corona virus follow procedure help family safe 

  aadyasitara aadya sitara coronavã­rus coronaaleart staysafe sanitizer covid"
119,Negative,"low gas price hurt economy toronto driver advantage 

  torontodotcom coronaviruscanada"
120,Neutral,"coronavirus year old grandma go cabinet round supply 

 present bottle hydrogen peroxide expire july"
121,Positive,fuck safe coronavirus train gas station grocery store gym sxsw ballgame amusement park guy gas mask gun street let live life
122,Extremely Positive,beautiful thing work home have strictly online small business covid isnât transmittable email shop
123,Neutral,public school college university closure coronavirus lot food insecure student hungry stock pantry consider donate local food pantry help feed kid coronavirusupdate
124,Negative,  venezuela latin america affected country twin crisis coronavirus collapse oil price come
125,Extremely Negative,"coronavirus crisis speed technological revolution school health service shopping work online fast pace robot come 
  vintagebook"
126,Extremely Negative,coronavirus crisis speed technological revolution school health service shopping work online fast pace robot come page   vintagebook
127,Positive,"ok know people scared stock pile water med food toilet paper cat food 

 like guy cat picky eat rachaelray brand start buy 

 cat food coronavirus"
128,Positive,"food product stock can meat veggie fruit noodle rice wish feel safe fresh stuff maybe dry fruit 

 

  coronavirus stockpile thought"
129,Negative,  fallout ghost flight go swap cabin payload cargo payload self isolate individual online shopping globally pastime wait lockdown end
130,Extremely Negative,"avoid panic shelf store stock amazon pantry item 
 

  ad coronavirus prepper beprepare 
  corona coronavirusoutbreak soldout 
  wuhanvirus coronavirususa 
  wuhancoronavirus toiletpaper"
131,Negative,trump admin worried stock market oil company cruise hotel industry people nation want know test ill work earn month rent food family coronavirus
132,Positive,share turkish supermarket chain migros surge today expectation stock nation coronavirus case confirm
133,Extremely Negative,ok flight cheap empty busy tourist destination europe panic hell stock market lower house price
134,Negative,"supermarket boss say staff self isolate possible symptom affect abiity store stock shelf panic buy 
 right 
 plus shortage delivery driver packer"
135,Extremely Negative,"fight break australian supermarket toiletpapercrisis lead police have intervene 

 woman ask âjust packetâ second woman large packet cart 

"
136,Extremely Positive,"  thejagmeetsingh ask government food security come month case crisis coronavirus 

 canadian r afraid buy stock come month itâ hard find lysol wipe hand sanitizer hand soap"
137,Extremely Positive,trevor rd tcfd share helpful tip come stock food coronavirus quarantine stock pantry aim diet consist protein fat carbs fruit veggie foodismedicine
138,Negative,  sainsbury sure midst panic buy hoarding general insanity see store recently save stock local food bank see donation fall
139,Extremely Positive,"coronavirus food late 

 good piece marionnestle 
 


 curious informal poll 
 take covid infection precaution stockpile food essential supply right week plan"
140,Neutral,doesnât matter whatâ go marthaâ grind
141,Extremely Positive,charity like youtheastside clubinsider scramble cancel big fundraiser upayasv go virtual day raise dream share tip seattlefdn komonew
142,Extremely Positive,sanitizer special free squirt sanitizer purchase awesome donut great cup coffee coronavirus coronavirusupdate therightcoffee sanitizer
143,Neutral,"bitcoin price 
  scam 
"
144,Neutral,cptsd therapist recommend people isolate government advise stay home recommend self isolation consider shopping anymore instead online coronavirus
145,Positive,  canceleverything tend coronavirus look like shop online read book
146,Positive,"interesting business tell employee work home caution canât 

 happen grocery store coworker contract coronavirus affected customer come store"
147,Negative,"chemical explanation soap water kick ass weapon coronavirus 

 soap âis like demolition team break building take brick away â say chemistry prof palli thordarson 

  b resnick"
148,Negative,supermarket petrol station place sell hand sanitizer toilet paper expect price greedy asshole not guy
149,Negative,let hope stock buy toilet roll shit force stay indoor toilet roll hardly food coronavirus cornoravirusuk corona toiletpapercrisis toiletpaperpanic toiletpaperpanic banter
150,Positive,smart stock year supply live canned perishable food plague coronavirus foodsecurity
151,Negative,need stock toilet paper paper towel week food understand need year worth toilet paper paper towel like world end coronavirus
152,Extremely Positive,fill fridge food ready medical supply water avoid crowd update news not panic work home feasible boost immune system drink vitamin wash hand stay safe healthy metromanilacovid
153,Neutral,"  official say stock extra day worth food prep coronavirus outbreak see woman panick say know extra day food look like speech anti hunger policy conference 
"
154,Extremely Negative,  consumer price unexpectedly rise february likely decline month ahead coronavirus outbreak depress demand good service
155,Neutral,notice people afford skip meal stampede grocery store stock food coronavirus
156,Negative,"news panic buy food supermarket headline week fear coronavirus grow stock freezer look gas monitoring frozen dry food storage 

 discover play role keep food fresh"
157,Negative,have extra income stock non perishable med etc privilege afford donate supply food bank fight system doesn t leave people struggle hungry pandemic coronavirus
158,Negative,go food raid chos ur household panic check supply biglangdamingkailangan
159,Positive,"  cpg retail 
 major retailer china like starbuck uniqlo nike apple temporarily shutter store 
 seller amazon marketplace reportedly struggle bring good country 
  coronavirus infect luxury spending louisvuitton ralph lauren"
160,Extremely Negative,people uk stock pile bog roll iâm piss itâ ur fault iâm run spend â£ pack normally pay â£ u end quarantine u home w food surround bog roll coronavirus coronavirusoutbreak
161,Positive,itâ time stock cat food coronavirus quarantine pandemic
162,Positive,"  forexlifecom 

 oil price head high u s cut hope march 



  forex forexsignal forextrade forextrader corona coronavirus"
163,Extremely Positive,"get lot retail relate coronavirus question moment know answer servicedock 

  store staff react cough sneeze checkout queue 

 thought instore friend"
164,Neutral,discover coronavirus affect retail industry store brand
165,Neutral,"italy canceleverythe mode 
 close pharmacy supermarket post office 
  coronavirus coronavirusitalla"
166,Positive,  cbcterry canadaâs response âexemplaryâ come contain spread disease say dr bruce aylward leader mission china covid right turn social distancing clean hand job stock
167,Negative,unelected bankofengland coronavirus theur asset price steal
168,Neutral,look panic buying supermarket makati manila philippine announce case shop worker tell queue twice long normal hand sanitiser clean alcohol short supply coronavirusupdate
169,Positive,new housemmate move place tomorrow text current housemate like work retail store tho easily bring home covid
170,Extremely Positive,"remember good diet key health come stock fresh food include high vitamin c citrus market 
  coronavirus"
171,Negative,demand food server wear glove prepare food coronavirus coronavirususa wednesdaythought
172,Extremely Positive,"coronavirus pandemic online shopping stuff limit outside 

 item purchase itâ original packaging handle w glove 

 safe bless"
173,Neutral,"  coronavirus shift online shopping habit ecommerce 

 "
174,Positive,"home shopping double coronavirus take hold uk consumer switch buy food household item store online 

 business ready meet demand 

 postaltechnew"
175,Extremely Positive,"citigroup ceo michael corbat 

 âthis financial crisis bank financial system sound shape help â 

 live update"
176,Neutral,"covid need stock food water case iâm quarantine 

 covid theyâre go work home need sure food house mindlessly eat 
  dietproblem"
177,Neutral,retail store restaurant bathroom teach people need wash hand employee work coronavirus washyourhand
178,Positive,guy stock confirm grocery store start run non perishable food cleaning supply practice safe measure sure polite retail worker stressful time coronavirus
179,Negative,"  market crash come 
 coronavirus 
  price 
 security 
 fall 
 lender right 
 demand additional cash 
 way cash 
 sell 
 way 
 sell beget sell 
 "
180,Neutral,not stock toilet paper food water flu season stock coronavirus
181,Neutral,  coronavirus l resident stock food cleaning supply
182,Extremely Positive,don t panic buy well chance overcome crisis stay calm cooperate need soap alcohol etc stay clean need access food water stay healthy
183,Neutral,  askcdc necessary stockpile food toilet paper item response covid recent press conference tell old adult stock period time long period time actual metric week month etc
184,Positive,  lose free food blow employee say personally stock fridge drastically alter life sense budget ââ    robaeprice steep price coronavirus tech worker businessinsider
185,Extremely Negative,everybody stock toilet paper iâm like wth iâd stock extra food useless coronavirus
186,Extremely Positive,"sit count blessing walk trail house decent gym garage pool lovely home 
 shut week month ok 

 say head grocery store stock frozen pizza ipa 
  coronavirus"
187,Neutral,quote piece do not stockpiling item eviefordham
188,Positive,love food cheescake factory stock continue destroy value shareholder management need replace new leader need streamline business view forbes cake dining restaurant coronavirus
189,Positive,anxiety coronavirus drive grocery shopper online theyâre able purchase cpg item need risk exposure crowd people catalyst online grocery need change deep rooted consumer shopping habit
190,Negative,people cough feel sick stay home grocery store work coronavirus pandumbic
191,Extremely Positive,financial relief come dc include consumer financial relief utility electric gas water whitehouse
192,Extremely Positive,panic coronavirus ask cashier local smartfoodservice tell need reason stock food leave house week time fact people annoying wise
193,Positive,coronavirus effect bond price pandemia tend increase safe haven demand german bond opposite effect greek bond price corona coronovirusupdate coronavirusupdate coronavirus economy economics crash market bond greece greek
194,Extremely Positive,itâ fuck come solid plan store combat coronavirus well high up rich owner iâm curious know retail store employee safe iâve see coffee shop cash anymore
195,Negative,"today grocery store checker touch stuff notice habit lick finger count cash 

 immunocompromise 

 ugh 

  coronavirus"
196,Positive,"  people highrisk 
 cdc finally say prepare shelter place 

 mean 

 âstock med ask doc supply 
 âfood water supply 
 âkeep distance 
 âif community stay home 

  coronavirus 
 "
197,Neutral,stock dry canned food bottled water water purifier coronavirus
198,Positive,pop local supermarket work basket noticeably clean thereâs hand wash bog roll need wash
199,Extremely Positive,iâm try paranoid coronavirus admit binge prepper video youtube itâ probably wise idea stock supply food medicine water booze
200,Negative,hi aewrestle luca italy big fan product district live cover coronavirus italy government forbid leave house go grocery store pharmacy
201,Negative,environment small apartment stock barely afford rent food regular basis constantly wash hand water poison ask friend coronavirus
202,Positive,"  preprint nejm 
  covid virus remain viable air hour post aerosolization 
  stable plastic stainless steel viable virus detect hrs 
 wash hand difference give"
203,Positive,warrior league source direct play host net thursday night chase center game close fan
204,Extremely Positive,small reminder stock bar soap local food pantry place worship guest feeding ministry ask portable liquid hand soap need stay safe covid
205,Positive,"get impact coronavirus consumer question article ask creditcard travel insurance cover way know sure check card policy 

"
206,Negative,shelf bare struggle meet demand panickbuye find difficult stock main item worry time struggle financially donate grateful
207,Negative,"mutton chicken kathal price skyrocket coronavirus scare 

  coronavirusinindia coronavirus kathal mutton jackfruit"
208,Extremely Positive,arlington public school student free reduced lunch school close coronavirus donate share link fundraiser organize ap teacher grocery store gift card food insecure family
209,Neutral,"webinar live min netelixirâ founder ceo discuss shift consumer online shopping search behavior change see ecommerce sale coronavirusoutbreak follow update 
  netelixir coronavirus"
210,Positive,"key metric consider online shopping behavior latency number day website landing purchase number website landing prior purchase 
  netelixir coronavirus webinar onlineshopping"
211,Extremely Negative,"woolworth state customer buy monstrous amount toilet paper pasta canned food unable return excess purchase 

 panic buyer regret serve right 

  auspol coronavirus coronavirusau"
212,Negative,focus demand economic impact covid travel tourism food service far large sector affect
213,Positive,iâm go to apologize bank online shopping iâll m quarantine sorrynotsorry corona coronavirus
214,Positive,"  btc prove safe heaven multinational coronavirus spread people dump crypto stock like food grocery 

 small pandemic 

  crypto bitcoin corona"
215,Positive,coronavirus hurt store traffic e commerce help retail coronavirus
216,Negative,  sebdance forget corona expect recession thank brexit
217,Extremely Negative,go grocery store buy bleach cleaner toilet paper buy bacon steak see people mask maybe state ohio scary coronavirus shut grocery store
218,Neutral,completely change outlook covid time stock can food
219,Neutral,"foodbank say see client work coronavirus 

"
220,Negative,local authority float idea localize lockdown control covid spread agriculture secretary william dar say order food sufficiency action plan mean contingency measure situation worsen
221,Neutral,stock pantry coronavirus
222,Positive,youâre panick buying necessity covid remember food shelf group home shelter etc lot place depend donation donât time flexibility able stock situation donate
223,Negative,  northmantrader federalreserve housing bubble pop implode stable price maximum employment ass endthefe boomerplague coronavirususa
224,Negative,"retailer handle difficult trading coronavirus conversion probably big challenge store retailer 


  coronavirus retailer retail conversionrate"
225,Positive,stock sure bottle quash natural hand sanitizer spray desk home purse travel flight spray tv screen food tray etc lab prove kill tough germ viruse available nutritionhouse health food store coronavirusoutbreak
226,Positive,"weâre washinghand frequent wipe keyboard 
 â 
 need create psa 
 
  hand hand keyboard corona coronavirus photooftheday stockphotography stockphoto photosforsale sanfrancisco"
227,Neutral,  mikeandersonsr cdc keep pile pandemic create scarcity tell people stay home stock food nursing home arnât prepare covid pandemic potus need cdc control
228,Positive,report covid stop time tell wash hand sec use hand sanitizer alcohol cough tissue stock food rx drug cancel event ve mass shooting tell live life virus paralyze puzzle
229,Negative,  senatorloeffler realdonaldtrump vp fuck consumer strong economy job pandemic absolutely btw trump university pandumbic trumpdemic coronavirus wherearethetest
230,Extremely Negative,"lookout price gouging scam relate covid virus learn spot file relate consumer complaint link 

"
231,Extremely Negative,"âwe disappoint seller attempt artificially raise price basic need product global health crisis amazonin 
  flipkart grofer netmed 
  pharmeasyapp 
  corona coronavirusupdate 
  handsanitizer 
"
232,Positive,target walmart s clean repeat target begin clean sanitize checkout lane touchscreen minute retailtrend retail touchscreens clean sanitizing coronavirus viruscontainment
233,Neutral,"cdc risk americans immunocompromise impaired immune system âtake actionâ stock food med covid 
"
234,Neutral,"target begin ration item fly shelf coronavirus outbreak institute new store cleaning policy 



  rockville rkv moco dc coronavirus retail maryland montgomerycounty"
235,Negative,"local iga supermarket limit dog food go to toilet roll hoarding saga 
  coronavirusaustralia covid dogs aupol msm ridiculous"
236,Positive,swing grocery store tonight toilet paper hand sanitizer find mariner trophy case
237,Extremely Positive,accord dude eat rama margarine âleaverâ spread koo beans coronavirus check system doesnât like food eat virus âchecks outâ host eat like ciabatta stock koo beans coronavirusinsa
238,Neutral,continue outbreak coronavirus covid affect key u s e commerce metric read ecommerce onlineshoppe shopper consumer retail
239,Neutral,literally week ago u s economy hum bernie sander democratic runner dominant victory nevada
240,Positive,different note iâd like share brag start need buy single alcohol base product need joke aside itâ shameful price go need
241,Extremely Positive,"local authority encourage relax plan restriction delivery time store opening hour ensure supermarket retailer able maintain stock level coronavirus outbreak 



  covid"
242,Positive,"lot sleep 
 drink lot water 
 donât eat bat 
 wash hand 
 mom 
 stock food 
 donât eat bat 
 stock water 
 clean regularly touch surface 
 donât eat bat 
 avoid crowded event 
 eat healthy 
 donât eat bat 
  coronavirus"
243,Negative,"coronavirus 

  donât sick 
  wash hand 
  ahead wear mask doctor 
  stock food medicine 
  work home 
  social distance 
  hand sanitizer surface 
  avoid touch face 
  good sleep vitamin 
  cough elbow 
  donât panic"
244,Positive,"optimist look bright coronavirus 

 wife long want expensive trip asia 

 long buy online overseas 

 long go shop panicked toilet paper mobs 

 blessing disguise"
245,Negative,telangana politician killing coronavirus mask take advantage fear abroad mint money âcontrollingâ manufacture mask export exorbitant price trspartyonline deccanchronicle editorofdc
246,Extremely Negative,dangerous dem cause chaos covid shake hand hug share bite food watch fox friend problem fake medium make look bad crash stock market beautifully perfect response test kit
247,Positive,"help elderly isolate mortality rate extremely high elderly need stock medicine food stay away people 
  coronavirus 

"
248,Negative,"new wave retail coronavirus reaction virtual meetups shelf list cancel trade event coronavirus coronavirusupdate storebrand privatelabel tradeshow 
 "
249,Neutral,high tech industry consumer package good affect supply chain disrupt manufacturing operation globe harvardbiz detail coronavirus impact global supply chain
250,Negative,break world health organization declare covid pandemic pointing case coronavirus illness country territory world
251,Neutral,  retailgeek howdy business retail trend datum late impact shopping surge shopping session datum
252,Neutral,  online shopping impact datum retail godigital
253,Positive,"look stock food strapped cash duck park free home 
  coronavirus hoarding"
